variable,porcentaje_na
ingreso_utilidades,99.25
ingreso_sec,97.37
ingreso_sec_no_sabe,97.37
disponible_trabajar,96.39
ultimo_mes_aporte,79.74
ultimo_ano_aporte,79.74
ultimo_aporte_no_sabe,79.74
sector_empleo,78.7
queria_trabajar,78.33
hizo_semana_pasada,78.3
temporalidad_pago,78.14
ingreso_prin,78.14
ingreso_prin_no_sabe,78.14
recibe_ingreso_utilidades,75.95
trabajo_negocio,75.81
trabajo_servicio,75.81
trabajo_casa_vender,75.81
trabajo_venta_belleza,75.81
trabajo_artesanal,75.81
trabajo_practicas,75.81
trabajo_hogar_particular,75.81
trabajo_fabrica_producto,75.81
trabajo_chacra_amimales,75.81
trabajo_familiar_no_remunerado,75.81
trabajo_otro,75.81
negocio_volvera,75.52
empleo_fijo_volvera,74.98
confianza_jne,72.41
confianza_onpe,72.41
confianza_reniec,72.41
confianza_muni_provincial,72.41
confianza_muni_distrital,72.41
confianza_pnp,72.41
confianza_FFAA,72.41
confianza_gore,72.41
confianza_PJ,72.41
confianza_minedu,72.41
confianza_defensoria,72.41
confianza_congreso,72.41
confianza_partidos,72.41
confianza_prensa_escrita,72.41
confianza_radioTV,72.41
confianza_iglesia,72.41
confianza_procuraduria,72.41
confianza_fiscalia,72.41
confianza_contraloria,72.41
confianza_sunat,72.41
confianza_comision_anticorrupcion,72.41
tipo_contrato,69.22
tiene_ruc,51.32
tamano_empresa,45.98
categoria_ocupacional,45.75
nivel_edu,25.59
etnicidad,25.57
afiliado_SPP,25.57
afiliado_SNP_19990,25.57
afiliado_SNP_20530,25.57
afiliado_SNP_otro,25.57
no_afiliado_pensiones,25.57
fac500a,25.54
trabajo_semana_pasada,25.54
factorA07,6.32
lengua_materna,6.32
afiliado_essalud,0.09
afiliado_privado,0.09
afiliado_eps,0.09
afiliado_FFAA_Policiales,0.09
afiliado_SIS,0.09
afiliado_universitario,0.09
afiliado_escolar,0.09
afiliado_otro,0.09
discapacidad_moverse,0.08
discapacidad_visual,0.08
discapacidad_comunicarse,0.08
discapacidad_auditiva,0.08
discapacidad_cognitiva,0.08
discapacidad_social,0.08
malestar_cronico,0.08
año,0
mes,0
conglome,0
nconglome,0
subconglome,0
vivienda,0
hogar,0
codperso,0
codinfor,0
ubigeo,0
dominio,0
estrato,0
factor07,0
sexo,0
edad,0
